ORDER, SIZE, TIME, GFLOPS
ijk, 256, 7.803405, 4.29997313e-02
kji, 256, 30.717378, 1.09235990e-02
ikj, 256, 0.533773, 6.28627440e-01
jik, 256, 7.586549, 4.42288488e-02
kij, 256, 0.573494, 5.85087804e-01
jki, 256, 30.446432, 1.10208093e-02
ijk, 512, 11.699867, 2.29434622e-01
kji, 512, 68.991033, 3.89087457e-02
ikj, 512, 0.537962, 4.98985943e+00
jik, 512, 11.834852, 2.26817751e-01
kij, 512, 0.632647, 4.24305245e+00
jki, 512, 70.643149, 3.79987953e-02
ijk, 768, 8.140669, 1.11289340e+00
kji, 768, 34.973822, 2.59042225e-01
ikj, 768, 0.536135, 1.68981644e+01
jik, 768, 7.755428, 1.16817493e+00
kij, 768, 0.671360, 1.34945431e+01
jki, 768, 35.877638, 2.52516529e-01
ijk, 1024, 11.279868, -1.90381982e+00
kji, 1024, 69.464050, -3.09150366e-01
ikj, 1024, 0.527860, -4.06828316e+01
jik, 1024, 11.313089, -1.89822927e+00
kij, 1024, 0.868784, -2.47182702e+01
jki, 1024, 71.295388, -3.01209336e-01
ijk, 1280, 7.666277, -1.31306622e-01
kji, 1280, 34.053290, -2.95605199e-02
ikj, 1280, 0.537590, -1.87249188e+00
jik, 1280, 7.679291, -1.31084101e-01
kij, 1280, 1.380734, -7.29056292e-01
jki, 1280, 33.992687, -2.96132212e-02
ijk, 1536, 11.655142, -1.15157522e+00
kji, 1536, 71.818569, -1.86884437e-01
ikj, 1536, 0.546203, -2.45728700e+01
jik, 1536, 11.951001, -1.12306684e+00
kij, 1536, 1.973051, -6.80254708e+00
jki, 1536, 72.919862, -1.84061961e-01
